# imps sigma lcorrMax lcorrmin sigmaxmax sigmaymax  sigmaMinx sigmaMiny
4.000000000000000000e+03 1.873684210526315730e-01 3.919372877997415827e+01 1.159084003467609314e+01 5.776698977527274110e+03 1.791785748228328885e+04 2.154025838174255014e+01 9.847084294729961940e+00
4.000000000000000000e+03 1.963157894736842213e-01 3.972463874106803416e+01 1.275450008806014246e+01 3.889959840576309347e+01 4.296699618034242008e+01 1.256171123992885086e+01 3.547481354930499720e+01
4.000000000000000000e+03 2.000000000000000042e-02 2.221609489693999517e+00 1.795460162957252193e+00 2.258937679368348661e+00 1.923460914094307528e+00 2.028398652331900198e+00 1.803002926006333384e+00
4.000000000000000000e+03 2.000000000000000042e-02 2.270130298354897658e+00 1.809513899548320648e+00 2.413873436373572545e+00 2.199887317802228903e+00 1.910958786384733932e+00 1.759856573511150657e+00
4.000000000000000000e+03 2.000000000000000111e-01 4.595081116183432357e+01 1.356679436487980972e+01 2.978635583251867658e+01 1.040220296193827176e+06 1.099570190023443317e+01 1.773298387064743054e+01
4.000000000000000000e+03 2.052631578947368141e-01 4.242463862562399157e+01 1.795035555831185548e+01 1.858265984041387492e+04 3.818833357322600932e+04 1.847879942553010935e+01 3.734231684386238470e+01
4.000000000000000000e+03 2.142105263157894623e-01 3.817722993345907412e+01 1.701283328485360258e+01 1.794522784209342717e+04 4.613456241448882065e+04 9.739087473471512567e+03 2.186377086667574258e+04
4.000000000000000000e+03 2.222222222222222307e-02 2.559454911359533735e+00 1.961392429235695456e+00 2.280315514798406884e+00 2.868229457886379397e+00 1.901361720828445678e+00 2.139010182983321240e+00
4.000000000000000000e+03 2.231578947368421106e-01 4.326288185384635199e+01 1.740447188175753723e+01 4.889319171856686808e+01 2.901608763918543943e+01 3.716719042598506917e+01 1.520657152733172701e+01
4.000000000000000000e+03 2.311111111111111352e-02 2.784289940958364795e+00 2.083197622998066656e+00 2.893096085918370086e+00 2.439413315096502721e+00 2.366982744538660643e+00 1.942807649414685756e+00
4.000000000000000000e+03 2.321052631578947034e-01 4.463130928330285485e+01 1.887861841672415508e+01 1.725892236550296730e+04 2.462157072707257612e+04 4.430021965062265735e+03 8.526521834377594132e+03
4.000000000000000000e+03 2.410526315789473517e-01 4.736013102558748500e+01 1.907788360226943425e+01 5.170365896538292816e+01 2.954571424536803548e+01 3.156848249656445660e+01 1.551562993555421421e+01
4.000000000000000000e+03 2.444444444444444572e-02 2.721889990066738374e+00 2.106173134903275290e+00 3.308192916033371844e+00 2.526533449269300124e+00 2.438209775142553770e+00 2.071101327860252805e+00
4.000000000000000000e+03 2.500000000000000000e-01 4.538610442457924421e+01 2.103460179363813154e+01 1.163105343256120977e+04 1.240907101786201674e+05 1.335213367183117043e+04 2.399090933538429817e+04
4.000000000000000000e+03 2.666666666666666491e-02 2.998422491805933010e+00 2.241651491435217025e+00 2.813716277063501359e+00 3.221852360882717647e+00 2.962711102916806283e+00 2.198065403370863091e+00
4.000000000000000000e+03 2.888888888888888756e-02 3.509457466003250925e+00 2.553122384857515748e+00 2.899948519687860049e+00 3.646297379137092065e+00 2.533507955371369302e+00 2.945738648847439745e+00
#4.000000000000000000e+03 3.111111111111110935e-03 3.812651464382689204e-01 6.153521758158445043e-02 -1.000000000000000000e+02 -1.000000000000000000e+02 -1.000000000000000000e+01 -1.000000000000000000e+01
4.000000000000000000e+03 3.111111111111111022e-02 3.794785113088583905e+00 2.797397305570853199e+00 3.660088454139110770e+00 2.789905124983909523e+00 2.723458247185571945e+00 3.111620957272138277e+00
4.000000000000000000e+03 3.333333333333333287e-02 3.924454144152671908e+00 2.755996789378937439e+00 3.695749004862988407e+00 4.447146122106268251e+00 2.758392999481564356e+00 3.459595929455322239e+00
4.000000000000000000e+03 3.555555555555555552e-02 5.077715242459034606e+00 2.921404865765634185e+00 5.752901486457572489e+00 5.418696649894781281e+00 3.605563148003433138e+00 2.781010041830516588e+00
4.000000000000000000e+03 3.777777777777777818e-02 5.067381027042220154e+00 3.150416561171579310e+00 1.139895396115128179e+01 1.327189309950495755e+01 3.266647038080316179e+01 5.583504873591708417e+01
4.000000000000000000e+03 4.000000000000000083e-02 5.445869805703412503e+00 3.221540059219538232e+00 5.138319381868090119e+00 6.073981458452063720e+00 4.168351672450743450e+00 3.072721370730245649e+00
4.000000000000000000e+03 4.499999999999999833e-02 5.601878355994339920e+00 3.646075504517803711e+00 4.286943516947427923e+00 6.215173845848782186e+00 3.516765895971567524e+00 3.933721123358576932e+00
4.000000000000000000e+03 4.522222222222222615e-02 6.453121528832330256e+00 3.612204247267333024e+00 4.981066589403932099e+00 7.480132464675448567e+00 3.503383035979102278e+00 4.332881185079614283e+00
4.000000000000000000e+03 4.644444444444444098e-02 3.181062633787509242e+01 3.692146433273537198e+00 4.172631113025564531e+01 1.498312342371508699e+01 3.521523423264257158e+00 4.886480177859332308e+00
4.000000000000000000e+03 4.788888888888889056e-02 7.550638549986370407e+00 4.061339629273085450e+00 2.046026411920097487e+01 6.735218699075181448e+00 4.321171215160648060e+00 3.832454629932011247e+00
4.000000000000000000e+03 4.933333333333333320e-02 9.910306017740683870e+00 4.036532294088496897e+00 9.565529916387804477e+00 1.458261507155236103e+01 3.734921231441981071e+00 6.306510599608333045e+00
4.000000000000000000e+03 5.077777777777777585e-02 6.520498712647198047e+00 3.823644670881366281e+00 5.213141634447998030e+01 1.464546040736843224e+01 3.753334874158474666e+00 5.583765070591638846e+00
4.000000000000000000e+03 5.222222222222221849e-03 5.440448985258226067e-01 5.101035770813971970e-01 5.029085061176183924e-01 5.585112747309226577e-01 1.115047084852932024e-01 1.713164085613573029e+00
4.000000000000000000e+03 5.222222222222222543e-02 8.042714709908159065e+00 4.333202269962441733e+00 9.936037916036051243e+00 5.231379334867092723e+00 4.609450032218400217e+00 1.025435451372105788e+01
4.000000000000000000e+03 5.366666666666666807e-02 7.492705885752251049e+00 4.293505780376835723e+00 6.849209089928710803e+00 9.281269564618245482e+00 4.050087990772492041e+00 4.971403501150639670e+00
4.000000000000000000e+03 5.511111111111111072e-02 8.730109404970468390e+00 4.497006569820040767e+00 6.955654365928062077e+00 1.072494262503287388e+01 4.159829351613846704e+00 6.252289449698312573e+00
4.000000000000000000e+03 5.655555555555556030e-02 1.111632943923845041e+01 4.392702658719714215e+00 1.042807947811028058e+01 5.581191102716387853e+00 4.234233913743080002e+00 4.921476949518926780e+00
4.000000000000000000e+03 5.800000000000000294e-02 2.581910297617139705e+01 4.850365352305061606e+00 2.917981114932812403e+01 5.230972407329703699e+00 4.509159458127350639e+00 6.824425129759514874e+00
4.000000000000000000e+03 6.733333333333334225e-02 1.363767053032120558e+01 5.260041582779503067e+00 5.861710357165397234e+00 1.514578080823167028e+01 6.027292072710813642e+01 2.339611072295495475e+01
4.000000000000000000e+03 7.333333333333333197e-03 7.662711641321010569e-01 6.999768203638671027e-01 7.677412057848567173e-01 7.307490202246188504e-01 6.881688044309347552e-01 7.155459477487322584e-01
4.000000000000000000e+03 8.000000000000000167e-02 3.441187069183278169e+01 6.486485926694623316e+00 1.806335701749999956e+01 4.938735838475292894e+01 5.427418990260922271e+01 3.147964584113002573e+01
4.000000000000000000e+03 8.894736842105263608e-02 2.988012528666334333e+01 6.437286782819091613e+00 9.290092385538207154e+00 3.786093188929908138e+01 5.899592562654805583e+00 1.103532134942454590e+01
4.000000000000000000e+03 8.944444444444445141e-02 2.956185556699360362e+01 6.760058379791484384e+00 1.261792221150706617e+01 5.556169762157192160e+00 4.832889845646791827e+01 2.011224252691355829e+01
4.000000000000000000e+03 9.444444444444442810e-03 1.001442645569986745e+00 9.035113378579827659e-01 1.004097843005466562e+00 9.385478926778110242e-01 8.858322397614682986e-01 9.305509997958387736e-01
4.000000000000000000e+03 9.789473684210525661e-02 3.571792590001000178e+01 7.599736378268271864e+00 4.137064547859236541e+01 1.506765805720717744e+01 1.584792365632880440e+01 7.111165563729587191e+00
