4000 0.03422222222222222 2.9220779220779218e-05 2.0599847016208827e-09 0.06310277999999991  -4.056466551 -4.056466145 -4.056464363 -3.993363771 -3.993362874 -3.993361251 -3.993358626
4000 0.03422222222222222 2.9220779220779218e-05 2.154254601806303e-09 0.06309600199999998  -4.056466714 -4.056465632 -4.056464733 -3.993370712 -3.99336891 -3.99336603 -3.9933645
4000 0.03422222222222222 2.9220779220779218e-05 2.287000907832376e-09 0.0630911270000003  -4.056466417 -4.05646558 -4.056465155 -3.99337529 -3.993372238 -3.993371247 -3.993363761
4000 0.03422222222222222 2.9220779220779218e-05 1.7396031201266107e-09 0.06309910099999971  -4.056466316 -4.056465771 -4.056465038 -3.993367215 -3.99336588 -3.993364042 -3.993362721
4000 0.03422222222222222 2.9220779220779218e-05 2.045117720164733e-09 0.06310435500000011  -4.056467111 -4.056465401 -4.056464539 -3.993362756 -3.99336217 -3.99336102 -3.993359011
4000 0.03422222222222222 2.9220779220779218e-05 1.901024981081383e-09 0.06308761400000007  -4.056466686 -4.056465429 -4.056465227 -3.993379072 -3.993378135 -3.993374099 -3.993372025
4000 0.03422222222222222 2.9220779220779218e-05 1.916818229152003e-09 0.06308497700000038  -4.056467632 -4.0564653 -4.056464405 -3.993382655 -3.993377378 -3.993375847 -3.993369937
4000 0.03422222222222222 2.9220779220779218e-05 1.902332077909958e-09 0.06310297099999973  -4.056466722 -4.05646541 -4.056464939 -3.993363751 -3.993362233 -3.993361928 -3.993360107
4000 0.03422222222222222 2.9220779220779218e-05 1.9098596294386244e-09 0.0630875780000002  -4.056466612 -4.056466011 -4.056464588 -3.993379034 -3.993376404 -3.993369107 -3.993361833
4000 0.03422222222222222 2.9220779220779218e-05 2.1276509188348704e-09 0.0630911209999998  -4.056466552 -4.056465874 -4.056464673 -3.993375431 -3.993374164 -3.993369901 -3.993367363
4000 0.03422222222222222 2.9220779220779218e-05 2.041304233331958e-09 0.06309581100000061  -4.056466731 -4.056465599 -4.056464915 -3.99337092 -3.993369896 -3.993368442 -3.993368188
4000 0.03422222222222222 2.9220779220779218e-05 2.1756316836669536e-09 0.06309119000000019  -4.056466632 -4.056465518 -4.056464959 -3.993375442 -3.993374392 -3.993370619 -3.993368446
4000 0.03422222222222222 2.9220779220779218e-05 1.936539922282593e-09 0.06309059400000017  -4.056467104 -4.056465408 -4.056464755 -3.99337651 -3.993373441 -3.993371277 -3.993368429
4000 0.03422222222222222 2.9220779220779218e-05 1.7800666314497413e-09 0.06309107399999991  -4.056466855 -4.056465944 -4.056464499 -3.993375781 -3.993372709 -3.993370969 -3.993369006
4000 0.03422222222222222 2.9220779220779218e-05 2.2709747540555552e-09 0.06309247499999993  -4.056466684 -4.05646553 -4.056464977 -3.993374209 -3.993372207 -3.993369374 -3.993368685
4000 0.03422222222222222 2.9220779220779218e-05 2.148071453800531e-09 0.06308003999999956  -4.056466656 -4.05646588 -4.056464892 -3.993386616 -3.993383126 -3.99338169 -3.993374558
4000 0.03422222222222222 2.9220779220779218e-05 2.0712607014953436e-09 0.0630942400000003  -4.056466278 -4.056465807 -4.056465159 -3.993372038 -3.993371517 -3.993371111 -3.993370355
4000 0.03422222222222222 2.9220779220779218e-05 1.9658942895381255e-09 0.06309037699999953  -4.056466474 -4.056466038 -4.056464767 -3.993376097 -3.993375784 -3.993370369 -3.993366322
4000 0.03422222222222222 2.9220779220779218e-05 1.9156933478972844e-09 0.06309762400000052  -4.056466612 -4.05646557 -4.05646496 -3.993368988 -3.993367019 -3.993366832 -3.993366535
4000 0.03422222222222222 2.9220779220779218e-05 1.8902980508559907e-09 0.06310606600000002  -4.056466144 -4.056465773 -4.056465154 -3.993360078 -3.99335887 -3.993357693 -3.993357077
4000 0.06744444444444445 1.4827018121911036e-05 1.7980656247749209e-09 0.0630970129999997  -4.056466432 -4.056465675 -4.056465067 -3.993369419 -3.993367774 -3.993366078 -3.993364581
4000 0.06744444444444445 1.4827018121911036e-05 2.3206458002175205e-09 0.06310891100000049  -4.056466032 -4.056465822 -4.056465181 -3.993357121 -3.993356691 -3.993356036 -3.993355201
4000 0.06744444444444445 1.4827018121911036e-05 1.923276130780613e-09 0.06309486699999978  -4.05646625 -4.056465702 -4.056465326 -3.993371383 -3.993371085 -3.993370344 -3.993368618
4000 0.06744444444444445 1.4827018121911036e-05 1.7230832998525425e-09 0.06310226600000002  -4.056466052 -4.056465628 -4.05646539 -3.993363786 -3.99336247 -3.993360345 -3.993359117
4000 0.06744444444444445 1.4827018121911036e-05 1.7269476739841467e-09 0.06310252500000013  -4.056466017 -4.056465626 -4.05646549 -3.993363492 -3.993362426 -3.993361559 -3.993358685
4000 0.06744444444444445 1.4827018121911036e-05 1.7667058859828971e-09 0.06309247500000037  -4.056466248 -4.056465642 -4.056465376 -3.993373773 -3.993372828 -3.993368953 -3.993366936
