6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.9680300704240163 ,[1.96928101 2.06102859] ,U ,U ,2.2641378891212263e-06 ,  -499.4100432 -499.409944 -499.4096535 -499.2189125 -499.2184529 -499.2183691
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.0290806568064297 ,[2.21083352 1.98995085] ,U ,U ,2.1375008656673187e-06 ,  -503.0498758 -503.049111 -503.048116 -502.8780004 -502.873949 -502.871631
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.1631687427843556 ,[2.17998505 1.99361673] ,U ,U ,2.228441023412075e-06 ,  -489.4815677 -489.4671379 -489.4472202 -489.3606764 -489.3487975 -489.3464842
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.033011869976165 ,[2.14211678 1.93881268] ,U ,U ,2.250023937291926e-06 ,  -499.5309302 -499.5307971 -499.5306773 -499.3385291 -499.3383195 -499.3368845
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.3236060870839936 ,[2.36124863 2.0069787 ] ,U ,U ,2.2254982036190172e-06 ,  -502.7443775 -502.7436468 -502.7433961 -502.5681236 -502.5660265 -502.5612298
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.0425154091287587 ,[2.01703755 1.91713172] ,U ,U ,2.2951458142234543e-06 ,  -494.1946414 -494.1907757 -494.1888996 -494.059614 -494.0581894 -494.0403099
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.1493533564153617 ,[2.21383587 2.09402064] ,U ,U ,2.413821409741076e-06 ,  -498.1453252 -498.144942 -498.1447665 -497.9613636 -497.9581076 -497.9576569
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.9108340894962241 ,[1.89633392 2.04103838] ,U ,U ,2.3399203749055594e-06 ,  -500.6748736 -500.6746737 -500.6744509 -500.482583 -500.4824419 -500.4818139
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.0816958261723375 ,[2.02231183 2.17444393] ,U ,U ,2.3051102840638568e-06 ,  -501.6446373 -501.6437757 -501.643178 -501.4528653 -501.4522766 -501.4519072
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.917245659885301 ,[1.86180271 2.0273113 ] ,U ,U ,2.069750136199004e-06 ,  -507.9956966 -507.9849434 -507.9692661 -507.8586649 -507.847297 -507.8424929
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.0820435588548505 ,[1.86105565 2.22732565] ,U ,U ,2.3538576569306137e-06 ,  -497.4656796 -497.4648774 -497.463469 -497.2837537 -497.2811355 -497.2797497
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.1066454158040493 ,[1.96924375 2.31947802] ,U ,U ,2.1663424742325593e-06 ,  -497.9582196 -497.9580536 -497.9571278 -497.7673136 -497.7658881 -497.7654554
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.9991854863415504 ,[1.99110188 2.20608038] ,U ,U ,2.303989354183332e-06 ,  -489.4653186 -489.4581282 -489.4540263 -489.3470411 -489.3391266 -489.3359275
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.0681431811420596 ,[2.20019397 1.83580038] ,U ,U ,2.0101219930319824e-06 ,  -498.0000513 -497.9998044 -497.9985478 -497.8207003 -497.819878 -497.8156338
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.0195173546663385 ,[2.03174983 1.90575934] ,U ,U ,2.1644003205182714e-06 ,  -501.8069699 -501.8054103 -501.8049632 -501.6332084 -501.6281868 -501.6249597
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.9831263605377605 ,[1.97854666 1.99773031] ,U ,U ,2.2183204905847733e-06 ,  -497.5610465 -497.5600387 -497.5596242 -497.3846874 -497.3804848 -497.3796096
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.9251926318633583 ,[1.90140189 2.04952131] ,U ,U ,2.1499163866431973e-06 ,  -500.7532845 -500.7532048 -500.7531486 -500.5648108 -500.563941 -500.5627145
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.9724004197347524 ,[1.85218605 2.19874852] ,U ,U ,2.276953203056839e-06 ,  -500.7561844 -500.7558372 -500.7555552 -500.5616321 -500.5614769 -500.5613426
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.9600839240374786 ,[1.9477037  2.24528924] ,U ,U ,2.236019167134195e-06 ,  -499.8091515 -499.8091199 -499.8086753 -499.6144267 -499.6138619 -499.6136549
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.1659042683470795 ,[2.08912561 2.24606087] ,U ,U ,2.28984425771586e-06 ,  -497.616614 -497.6158446 -497.6153945 -497.4320684 -497.4307334 -497.4276774
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.0060679406139443 ,[1.93312824 2.13482856] ,U ,U ,2.1768126992631707e-06 ,  -492.1314907 -492.1155521 -492.102404 -492.0032089 -491.9981264 -491.983726
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.8252544943482496 ,[1.77342021 1.92733297] ,U ,U ,2.2597295692511065e-06 ,  -498.2992627 -498.2933461 -498.2924663 -498.1209041 -498.118251 -498.1156704
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.05190403986088 ,[2.07351303 1.76280485] ,U ,U ,2.0923844159260746e-06 ,  -499.0323339 -499.0321788 -499.0318889 -498.8512477 -498.8509246 -498.8497404
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.032764133933282 ,[1.98487815 2.14079309] ,U ,U ,2.1199487799267996e-06 ,  -501.0807877 -501.0806505 -501.0803715 -500.8932277 -500.8916532 -500.8888225
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.8778318007367125 ,[1.85566327 1.9178505 ] ,U ,U ,2.129409050600797e-06 ,  -501.1083368 -501.106737 -501.1051246 -500.9224066 -500.9209702 -500.9166082
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.172793045906606 ,[1.91417793 2.27377431] ,U ,U ,2.0780236908538893e-06 ,  -492.1875724 -492.1701091 -492.1612341 -492.0525907 -492.0432698 -492.0393808
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.8116853596199072 ,[1.78144878 1.89944741] ,U ,U ,2.1132145800010832e-06 ,  -503.5261286 -503.5251495 -503.5188061 -503.3534448 -503.3476594 -503.3436591
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.8903402893541854 ,[1.96520183 1.80498808] ,U ,U ,2.0845061451761404e-06 ,  -499.8730152 -499.8728656 -499.8727411 -499.6834229 -499.6810653 -499.6809413
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.005532837122543 ,[1.9884653  2.13599728] ,U ,U ,2.17487309553698e-06 ,  -497.0845687 -497.0839412 -497.0834027 -496.8930111 -496.8925653 -496.8918508
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.00689845695088 ,[1.99709889 1.90560276] ,U ,U ,2.164239949111779e-06 ,  -506.2754167 -506.2693792 -506.2682466 -506.1129688 -506.103647 -506.1026704
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.00157301736463 ,[1.99887904 2.04011125] ,U ,U ,2.1068233493441903e-06 ,  -511.8248955 -511.8200635 -511.8110116 -511.6821063 -511.6745983 -511.669596
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.021083284004161 ,[2.02006355 1.81637665] ,U ,U ,2.1325497803542534e-06 ,  -502.1929108 -502.1915572 -502.1863735 -502.0204071 -502.0166818 -502.0126051
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.9840071539438213 ,[1.94852215 2.05504945] ,U ,U ,2.1165279366462676e-06 ,  -505.6122033 -505.610408 -505.6056618 -505.4622658 -505.4602767 -505.446277
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.007769744929195 ,[2.05440642 1.91496074] ,U ,U ,2.165932993192658e-06 ,  -501.7759428 -501.7736649 -501.7714694 -501.5939911 -501.5930304 -501.5877471
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.963123667929529 ,[1.94372594 2.17280906] ,U ,U ,2.2123396259328823e-06 ,  -501.8237185 -501.8232605 -501.8225748 -501.6346371 -501.6335218 -501.6324447
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.1079468182108743 ,[2.18308803 2.11368401] ,U ,U ,2.093565318690568e-06 ,  -501.1528042 -501.1524284 -501.1519492 -500.9636434 -500.9610158 -500.9608421
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.1037986498106918 ,[2.12418196 1.7704368 ] ,U ,U ,1.9946379922960885e-06 ,  -497.2305893 -497.2269515 -497.2259562 -497.0713739 -497.0692611 -497.0649792
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.871559724682757 ,[1.99150485 1.77649048] ,U ,U ,2.0810262989568376e-06 ,  -498.7402549 -498.7398236 -498.7393907 -498.5471161 -498.5462954 -498.5453973
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.9583576236861961 ,[1.98148815 1.7258923 ] ,U ,U ,1.980286499901076e-06 ,  -507.0569826 -507.0444738 -507.039249 -506.9279142 -506.9226108 -506.9196102
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,1.868102330708772 ,[1.7401393  2.14231073] ,U ,U ,2.1298658474149403e-06 ,  -506.1772833 -506.1685149 -506.1399686 -506.0323479 -506.022268 -506.0172947
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.117692998464564 ,[2.12820153 2.00717597] ,U ,U ,2.243749724142818e-06 ,  -498.0360237 -498.0353641 -498.0345745 -497.8576755 -497.8544031 -497.8533252
6 ,18 ,HC , 4800.0 ,0.0015 ,-0.0015 ,0.02 ,2.001376226147576 ,[1.9470194  2.42186917] ,U ,U ,2.4408759756495294e-06 ,  -492.9960806 -492.9883965 -492.980697 -492.8479869 -492.843959 -492.8424416
