4000 0.06744444444444445 0.00011861614497528829 1.2021363034894878e-07 0.20523576799999987  -1.567871555 -1.567860426 -1.567821043 -1.362635787 -1.362617142 -1.362523076 -1.36182402
4000 0.06744444444444445 0.00011861614497528829 1.2230100335604963e-07 0.2021848460000002  -1.567968747 -1.567934771 -1.567900111 -1.365783901 -1.365585709 -1.365357031 -1.362732229
4000 0.06744444444444445 0.00011861614497528829 1.3846814579236329e-07 0.20375384000000007  -1.567915371 -1.567882865 -1.567849516 -1.364161531 -1.363909512 -1.363757877 -1.362374366
4000 0.06744444444444445 0.00011861614497528829 1.0705408356757876e-07 0.203332367  -1.567970424 -1.567927997 -1.567908381 -1.364638057 -1.364177682 -1.363902976 -1.362626996
4000 0.06744444444444445 0.00011861614497528829 1.3788157108039613e-07 0.202886911  -1.567943391 -1.567913262 -1.567840931 -1.36505648 -1.364820082 -1.36435497 -1.363443682
4000 0.06744444444444445 0.00011861614497528829 1.0989346368308366e-07 0.20362909499999993  -1.567900438 -1.567891406 -1.567856765 -1.364271343 -1.364159078 -1.364068505 -1.363382997
4000 0.06744444444444445 0.00011861614497528829 1.469842118704705e-07 0.20411222899999992  -1.567961382 -1.567900367 -1.567866569 -1.363849153 -1.363546611 -1.363388766 -1.3620751
4000 0.06744444444444445 0.00011861614497528829 1.4768264965108798e-07 0.20455621400000012  -1.567911518 -1.567885467 -1.567865231 -1.363355304 -1.363228327 -1.362746967 -1.362543604
4000 0.06744444444444445 0.00011861614497528829 1.0929560797835109e-07 0.20383408300000005  -1.567979383 -1.567895225 -1.567857402 -1.3641453 -1.363832259 -1.363590198 -1.362670295
4000 0.06744444444444445 0.00011861614497528829 1.1103886360957328e-07 0.20469943699999993  -1.567966123 -1.567925738 -1.567901583 -1.363266686 -1.363105602 -1.362986561 -1.362272122
4000 0.06744444444444445 0.00011861614497528829 1.5406763519537043e-07 0.204083625  -1.567897844 -1.567863748 -1.567826735 -1.363814219 -1.363726764 -1.363607991 -1.361927092
4000 0.06744444444444445 0.00011861614497528829 1.2613431654869078e-07 0.20413733  -1.567918279 -1.567888628 -1.56781709 -1.363780949 -1.363560258 -1.363413068 -1.362775682
4000 0.06744444444444445 0.00011861614497528829 1.2106168605337057e-07 0.2028584550000001  -1.568041017 -1.567949683 -1.567868683 -1.365182562 -1.364192352 -1.364117118 -1.36360565
4000 0.06744444444444445 0.00011861614497528829 1.2228449719882258e-07 0.20301542799999983  -1.56791628 -1.567877041 -1.567833519 -1.364900852 -1.364433834 -1.364377987 -1.362854536
4000 0.06744444444444445 0.00011861614497528829 1.0212939990172473e-07 0.20325124999999988  -1.568098871 -1.568000757 -1.567944483 -1.364847621 -1.364400963 -1.363550782 -1.363380077
4000 0.06744444444444445 0.00011861614497528829 1.0723955535559789e-07 0.20473262400000003  -1.567900121 -1.567889227 -1.567860545 -1.363167497 -1.363089558 -1.362943201 -1.362492289
4000 0.06744444444444445 0.00011861614497528829 1.5926259912317862e-07 0.203779594  -1.567906 -1.567899165 -1.567861606 -1.364126406 -1.364040366 -1.363748653 -1.36288296
4000 0.06744444444444445 0.00011861614497528829 1.2283299201264477e-07 0.2049946199999999  -1.567892882 -1.567887325 -1.567874696 -1.362898262 -1.362781083 -1.362597344 -1.362302789
4000 0.06744444444444445 0.00011861614497528829 1.0591096417897008e-07 0.20269005799999995  -1.56794638 -1.567922623 -1.567829236 -1.365256322 -1.364799896 -1.364437389 -1.362662007
4000 0.06744444444444445 0.00011861614497528829 1.3524652203989494e-07 0.20215198600000006  -1.567920146 -1.567879601 -1.5678622 -1.36576816 -1.365604395 -1.364995906 -1.363160704
4000 0.06744444444444445 0.00011861614497528829 1.398810100768606e-07 0.20341609400000005  -1.567950892 -1.567907286 -1.567869556 -1.364534798 -1.364303465 -1.364250735 -1.362765167
4000 0.06744444444444445 0.00011861614497528829 1.3126698013957752e-07 0.20419980599999987  -1.567960329 -1.567940472 -1.567897588 -1.363760523 -1.363588978 -1.363243174 -1.36229122
4000 0.06744444444444445 0.00011861614497528829 1.20638563586037e-07 0.2046327510000001  -1.567919848 -1.567886475 -1.567856011 -1.363287097 -1.363182275 -1.362867582 -1.362230711
