0  	  0  	  0.0083086
0  	  0.01  	  0.0087376
0  	  0.02  	  0.0091566
0  	  0.03  	  0.0095627
0  	  0.04  	  0.0099532
0  	  0.05  	  0.010325
0  	  0.06  	  0.010677
0  	  0.07  	  0.011006
0  	  0.08  	  0.01131
0  	  0.09  	  0.011588
0  	  0.1  	  0.011838
0  	  0.11  	  0.012058
0  	  0.12  	  0.012249
0  	  0.13  	  0.012409
0  	  0.14  	  0.012539
0  	  0.15  	  0.012637
0  	  0.16  	  0.012704
0  	  0.17  	  0.012739
0  	  0.18  	  0.012744
0  	  0.19  	  0.012718
0  	  0.2  	  0.012663
0  	  0.21  	  0.012577
0  	  0.22  	  0.012463
0  	  0.23  	  0.012321
0  	  0.24  	  0.012151
0  	  0.25  	  0.011954
0  	  0.26  	  0.011732
0  	  0.27  	  0.011485
0  	  0.28  	  0.011214
0  	  0.29  	  0.010921
0  	  0.3  	  0.010607
0  	  0.31  	  0.010274
0  	  0.32  	  0.0099231
0  	  0.33  	  0.0095569
0  	  0.34  	  0.0091777
0  	  0.35  	  0.0087878
0  	  0.36  	  0.00839
0  	  0.37  	  0.0079871
0  	  0.38  	  0.0075821
0  	  0.39  	  0.0071779
0  	  0.4  	  0.0067777
0  	  0.41  	  0.0063844
0  	  0.42  	  0.0060009
0  	  0.43  	  0.0056299
0  	  0.44  	  0.005274
0  	  0.45  	  0.0049352
0  	  0.46  	  0.0046154
0  	  0.47  	  0.0043161
0  	  0.48  	  0.0040381
0  	  0.49  	  0.0037822
0  	  0.5  	  0.0035483
0  	  0.51  	  0.0033362
0  	  0.52  	  0.0031452
0  	  0.53  	  0.0029742
0  	  0.54  	  0.0028219
0  	  0.55  	  0.0026867
0  	  0.56  	  0.0025669
0  	  0.57  	  0.0024608
0  	  0.58  	  0.0023668
0  	  0.59  	  0.0022832
0  	  0.6  	  0.0022087
0  	  0.61  	  0.0021421
0  	  0.62  	  0.0020827
0  	  0.63  	  0.0020301
0  	  0.64  	  0.0019844
0  	  0.65  	  0.0019458
0  	  0.66  	  0.0019152
0  	  0.67  	  0.0018938
0  	  0.68  	  0.0018829
0  	  0.69  	  0.0018842
0  	  0.7  	  0.0018996
0  	  0.71  	  0.0019309
0  	  0.72  	  0.0019798
0  	  0.73  	  0.0020482
0  	  0.74  	  0.0021373
0  	  0.75  	  0.0022483
0  	  0.76  	  0.0023817
0  	  0.77  	  0.0025377
0  	  0.78  	  0.0027157
0  	  0.79  	  0.0029148
0  	  0.8  	  0.0031333
0  	  0.81  	  0.0033688
0  	  0.82  	  0.0036186
0  	  0.83  	  0.0038791
0  	  0.84  	  0.0041466
0  	  0.85  	  0.0044167
0  	  0.86  	  0.0046851
0  	  0.87  	  0.0049469
0  	  0.88  	  0.0051977
0  	  0.89  	  0.0054327
0  	  0.9  	  0.0056476
0  	  0.91  	  0.0058383
0  	  0.92  	  0.0060013
0  	  0.93  	  0.0061334
0  	  0.94  	  0.0062321
0  	  0.95  	  0.0062956
